tourney_date,player_name,rank,rank_points,age
2025-01-31,Abdulmalek Burasais,,,33.2
2025-01-31,Abdulmajeed Bukhari,,,25.9
2025-01-31,Ammar Faleh Alhogbani,,,
2025-01-31,Saud Alhogbani,,,22.0
2025-01-31,Ricardo Rodriguez,1114.0,10.0,31.7
2025-01-31,Ignacio Parisca,818.0,26.0,19.4
2025-01-31,Thanapet Chanta,706.0,38.0,25.3
2025-01-31,Kasidit Samrej,423.0,109.0,24.0
2025-01-31,Maximus Jones,714.0,37.0,20.3
2025-01-31,Mirza Basic,563.0,62.0,33.5
2025-01-31,Petr Nesterov,437.0,100.0,21.8
2025-01-31,Xavier Lawrence,,,26.0
2025-01-31,Maks Kasnikowski,217.0,270.0,21.5
2025-01-31,Martyn Pawelski,775.0,31.0,20.2
2025-01-31,Conner Huertas Del Pino,794.0,28.0,29.1
2025-01-31,Cezar Cretu,315.0,164.0,23.7
2025-01-31,Iliyan Radulov,533.0,69.0,19.6
2025-01-31,Adrian Andreev,233.0,255.0,23.7
2025-01-31,Oleksandr Ovcharenko,311.0,166.0,23.2
2025-01-31,Ethan Denzel Sibanda,,,20.6
2025-01-31,Duje Ajdukovic,158.0,354.0,23.9
2025-01-31,Ofek Shimanov ,1226.0,7.0,19.5
2025-01-31,Maxim Mrva,881.0,20.0,17.4
2025-01-31,Ronan Tashinga Mtisi,,,17.1
2025-01-31,Jie Cui,280.0,188.0,27.0
2025-01-31,Freddy Murray,1869.0,1.0,21.5
2025-01-31,Ammar Elamin,1367.0,5.0,22.6
2025-01-31,Osgar Ohoisin,1288.0,6.0,28.3
2025-01-31,Markus Molder,1116.0,10.0,19.7
2025-01-31,Oliver Ojakaar,942.0,17.0,19.9
2025-01-31,Andreas Timini,2068.0,1.0,18.5
2025-02-01,Karim Mohamed Maamoun,882.0,20.0,33.8
2025-02-01,Amr Elsayed Abdou Ahmed Mohamed,660.0,45.0,25.9
2025-02-01,Liova Ayite Ajavon,,,25.6
2025-02-01,Thomas Yaka Kofi Setodji,1256.0,6.0,29.2
2025-02-01,Ahmad Nael Qureshi,,,18.5
2025-02-01,Christos Antonopoulos,1640.0,2.0,26.5
2025-02-01,Benjamin Balleret,,,42.0
2025-02-01,Philip Henning,329.0,154.0,24.2
2025-02-01,Matheus Pucinelli De Almeida,302.0,173.0,23.8
2025-02-01,Lucky Candra Kurniawan,,,21.1
2025-02-01,Gunawan Trismuwantara,,,22.0
2025-02-01,Fitriadi M Rifqi,943.0,17.0,26.0
2025-02-01,Christopher Bulus,1018.0,13.0,24.1
2025-02-01,Kris Van Wyk,358.0,138.0,28.3
2025-02-01,David Ekpenyong,,,19.0
2025-02-01,Rafael De Alba,,,
2025-02-01,Eugenio Gonzalez Fitzmaurice,,,21.8
2025-02-01,Daniels Tens,,,19.3
2025-02-01,Atakan Karahan,1413.0,4.0,18.7
2025-02-01,Mert Naci Turker,890.0,20.0,26.4
2025-02-01,Raul Garcia,1599.0,2.0,22.8
2025-02-01,Federico Zeballos,1573.0,2.0,36.6
2025-02-01,Ilie Cazac,,,18.4
2025-02-01,Blaise Bicknell,1078.0,11.0,23.1
2025-02-01,Kiranpal Pannu,494.0,80.0,28.0
2025-02-01,Ajeet Rai,485.0,82.0,26.0
2025-02-01,Rowland Phillips,,,31.0
2025-02-01,Andrei Gorban,,,41.5
2025-02-01,Ilya Snitari,587.0,58.0,22.8
2025-02-01,Aristotelis Thanos,592.0,57.0,23.8
2025-02-01,Mohamed Safwat,460.0,90.0,34.3
2025-02-01,Chun Hun Wong,,,29.2
2025-02-01,Codie Schalk Van Schalkwyk,,,22.7
2025-02-01,Connor Henry Van Schalkwyk,1124.0,9.0,20.1
2025-02-01,Ramkumar Ramanathan,406.0,116.0,30.2
2025-02-01,Karan Singh,496.0,79.0,21.5
2025-02-01,Sasi Kumar Mukund,365.0,135.0,28.0
2025-02-01,Robert Strombachs,407.0,116.0,25.3
2025-02-01,Denis Yevseyev,264.0,204.0,31.6
2025-02-01,Sylvestre Monnou,,,22.1
2025-02-03,Mees Rottgering,839.0,24.0,17.5
2025-02-03,Constant Lestienne,169.0,336.0,32.7
2025-02-03,Trevor Svajda,669.0,43.0,18.7
2025-02-03,Andrea Vavassori,317.0,163.0,29.7
2025-02-10,Diego Schwartzman,386.0,124.0,32.4
2025-02-10,Manuel Guinard,280.0,191.0,29.2
2025-02-10,Clement Chidekh,189.0,317.0,23.6
2025-02-10,Arthur Gea,306.0,171.0,20.1
2025-02-10,Hugo Grenier,202.0,306.0,28.8
2025-02-17,Abedallah Shelbayh,267.0,201.0,21.2
2025-02-24,Gustavo Heide,160.0,359.0,22.9
2025-02-24,Facundo Diaz Acosta,130.0,448.0,24.1
2025-02-24,Felipe Meligeni Alves,194.0,307.0,27.0
2025-02-24,Aziz Dougaz,212.0,265.0,27.9
2025-03-05,Li Tu,177.0,326.0,28.7
2025-03-19,Nick Kyrgios,892.0,20.0,29.8
2025-03-31,Martin Klizan,316.0,165.0,35.7
2025-03-31,Filip Cristian Jianu,241.0,229.0,23.5
2025-03-31,Radu Albot,223.0,248.0,35.3
2025-03-31,Corentin Denolly,328.0,159.0,27.8
2025-03-31,Younes Lalami Laaroussi,1193.0,8.0,23.9
2025-03-31,Federico Coria,126.0,464.0,33.0
2025-03-31,Elliot Benchetrit,608.0,54.0,26.4
2025-03-31,Pavel Kotov,107.0,573.0,26.3
2025-03-31,Alexander Ritschard,125.0,466.0,31.0
2025-03-31,Michael Mmoh,282.0,186.0,27.2
2025-04-23,Harold Mayot,160.0,354.0,23.2
2025-05-07,Nicolas Moreno De Alboran,149.0,386.0,27.8
2025-05-18,Karue Sell,300.0,175.0,31.5
2025-05-18,Ivan Gakhov,265.0,212.0,28.5
2025-05-18,Diego Dedura Palomero,372.0,130.0,17.1
2025-05-18,Borna Gojo,255.0,221.0,27.2
2025-05-26,Maximilian Marterer,239.0,233.0,29.9
2025-05-26,Albert Ramos,251.0,224.0,37.3
2025-05-26,Richard Gasquet,166.0,339.0,38.9
2025-05-26,Henrique Rocha,200.0,278.0,21.1
2025-06-09,Hubert Hurkacz,32.0,1640.0,28.3
2025-06-30,Christopher Eubanks,130.0,454.0,29.1
2025-06-30,Alex Bolt,179.0,309.0,32.4
2025-06-30,Johannus Monday,224.0,249.0,23.4
2025-06-30,Jay Clarke,196.0,283.0,26.9
2025-06-30,Oliver Crawford,248.0,229.0,26.1
2025-06-30,Chris Rodesch,163.0,346.0,23.9
2025-06-30,Henry Searle,421.0,106.0,19.2
2025-06-30,Oliver Tarvet,733.0,36.0,21.6
2025-06-30,Jack Pinnington Jones,281.0,196.0,22.2
2025-06-30,George Loffhagen,293.0,185.0,24.1
2025-06-30,Fabio Fognini,138.0,437.0,38.1
2025-07-14,Patrick Zahraj,283.0,193.0,25.9
2025-07-14,Calvin Hemery,171.0,331.0,30.4
2025-07-14,Marco Trungelliti,147.0,396.0,35.4
2025-07-14,Dominic Stricker,229.0,245.0,22.9
2025-07-14,Andrea Pellegrino,139.0,437.0,28.3
2025-07-14,Roman Andres Burruchaga,136.0,445.0,23.4
2025-07-14,William Rejchtman Vinciguerra,1476.0,3.0,18.4
2025-07-14,Thiago Monteiro,152.0,375.0,31.1
2025-07-14,Alan Magadan,921.0,18.0,24.1
2025-07-14,Govind Nanda,405.0,115.0,24.4
2025-07-14,Luis Carlos Alvarez,784.0,29.0,20.8
2025-07-14,Juan Alejandro Hernandez Serrano,493.0,82.0,26.0
2025-07-14,Alibek Kachmazov,183.0,308.0,22.9
2025-07-14,James Mccabe,164.0,341.0,22.0
2025-07-14,Mitchell Krueger,159.0,352.0,31.5
2025-07-20,Carlos Taberner,111.0,581.0,27.9
2025-07-20,Mili Poljicak,277.0,193.0,21.0
2025-07-20,Titouan Droguet,176.0,317.0,24.0
2025-07-20,Dusan Lajovic,129.0,464.0,35.0
2025-07-20,Matej Dodig,242.0,231.0,20.0
2025-07-21,Joel Schwaerzler,354.0,140.0,19.4
2025-07-21,Murphy Cassone,185.0,299.0,22.9
2025-07-21,Daniel Evans,144.0,415.0,35.1
2025-07-27,Vasek Pospisil,1250.0,6.0,35.0
2025-07-27,Pierre Hugues Herbert,142.0,431.0,34.3
2025-07-27,Dan Martin,,,26.2
2025-07-27,Facundo Bagnis,689.0,44.0,35.4
2025-07-27,Juan Pablo Ficovich,140.0,435.0,28.5
2025-07-27,Nicolas Arseneault,638.0,51.0,18.5
2025-07-27,Matteo Gigante,125.0,476.0,23.5
2025-07-27,Alexis Galarneau,193.0,285.0,26.4
2025-07-27,Arthur Fils,21.0,2130.0,21.1
2025-08-07,Kei Nishikori,65.0,893.0,35.5
2025-08-07,Patrick Kypson,212.0,258.0,25.7
2025-08-07,Thiago Agustin Tirante,135.0,461.0,24.3
2025-08-07,Colton Smith,138.0,453.0,22.4
2025-08-25,Leandro Riedi,435.0,104.0,23.5
2025-08-25,Darwin Blanch,364.0,136.0,17.9
2025-08-25,Nicolas Jarry,102.0,628.0,29.8
2025-08-25,Emilio Nava,101.0,640.0,23.7
2025-08-25,Pablo Llamas Ruiz,361.0,136.0,22.8
2025-08-25,Borna Coric,105.0,595.0,28.7
2025-08-25,Daniel Elahi Galan,131.0,480.0,29.1
2025-08-25,Roberto Carballes Baena,87.0,740.0,32.4
2025-08-25,Brandon Holt,110.0,554.0,27.3
2025-08-25,Federico Agustin Gomez,203.0,268.0,28.7
2025-08-25,Roberto Bautista Agut,47.0,1075.0,37.3
2025-08-25,Hugo Dellien,121.0,524.0,32.1
2025-08-25,Stefan Dostanic,389.0,127.0,23.8
2025-08-25,Tommy Paul,14.0,2610.0,28.2
2025-08-25,Jack Draper,5.0,4440.0,23.6
2025-08-25,Roman Safiullin,94.0,676.0,28.0
2025-08-25,Tristan Boyer,113.0,546.0,24.3
2025-08-25,Zachary Svajda,145.0,421.0,22.7
2025-08-25,Lloyd Harris,353.0,139.0,28.4
2025-08-25,Martin Damm,431.0,106.0,21.9
2025-09-12,Soon Woo Kwon,478.0,89.0,27.7
2025-09-12,Gonzalo Bueno,209.0,261.0,21.4
2025-09-12,Dhakshineswar Suresh,626.0,54.0,25.4
2025-09-12,Arda Azkara,551.0,67.0,22.4
2025-09-12,Cleeve Harper,1029.0,13.0,24.7
2025-09-12,Ignacio Buse,112.0,559.0,21.4
2025-09-12,Liam Draxl,117.0,543.0,23.7
2025-09-12,Yanki Erel,433.0,106.0,24.9
2025-09-12,Olaf Pieczkowski,484.0,87.0,21.4
2025-09-12,Tomasz Berkieta,545.0,70.0,19.1
2025-09-12,Ergi Kirkin,479.0,89.0,26.6
2025-09-12,Branko Djuric,461.0,93.0,20.5
2025-09-12,Jerome Kym,155.0,387.0,22.5
2025-09-12,Marc Andrea Huesler,222.0,248.0,29.2
2025-09-12,Lukas Klein,121.0,531.0,27.4
2025-09-12,Nicolas Mejia,200.0,267.0,25.5
2025-09-12,Aziz Ouakaa,625.0,55.0,26.0
2025-09-12,Sumit Nagal,290.0,179.0,28.0
2025-09-12,Benjamin Hassan,196.0,270.0,30.5
2025-09-12,Adria Soriano Barrera,331.0,152.0,26.2
2025-09-12,Peter Bertran,655.0,50.0,29.5
2025-09-12,Enmanuel Munoz,2171.0,1.0,20.6
2025-09-12,Viacheslav Bielinskyi,378.0,132.0,21.7
2025-09-12,Vladyslav Orlov,526.0,76.0,30.3
2025-09-12,Ziga Sesko,,,17.1
2025-09-12,Filip Jeff Planinsek,613.0,56.0,24.1
2025-09-12,Rodrigo Pacheco Mendez,211.0,258.0,20.3
2025-09-12,Hady Habib,172.0,317.0,27.0
2025-09-12,Fadi Bidan,1238.0,7.0,19.6
2025-09-12,Alex Santino Nunez Vera,1562.0,3.0,
2025-09-12,Daniel Vallejo,,,41.3
2025-09-12,Roberto Cid,337.0,151.0,32.0
2025-09-12,Alex Molcan,201.0,266.0,27.7
2025-09-12,Francisco Llanes,,,23.3
2025-09-12,Joaquin  Aguilar Cardozo ,803.0,31.0,20.4
2025-09-12,Norbert Gombos,325.0,160.0,35.0
2025-09-12,Olle Wallin,410.0,118.0,23.8
2025-09-12,Oleksii Krutykh,457.0,95.0,25.4
2025-09-12,Luis Carlos Alvarez Valdes,,,
2025-09-12,Daniil Glinka,304.0,168.0,25.3
2025-09-12,Darian King,2118.0,1.0,33.3
2025-09-12,Kaipo Marshall,,,23.4
2025-09-12,Stephen Slocombe,1815.0,1.0,22.4
2025-09-12,Huzaifa Abdul Rehman,,,22.7
2025-09-12,Muzammil Murtaza,,,25.8
2025-09-12,Martin Antonio Vergara Del Puerto,1724.0,2.0,21.3
2025-09-12,Franco Roncadelli,372.0,135.0,25.5
2025-09-12,Jaime Faria,115.0,552.0,22.0
2025-09-12,Dmitry Popko,220.0,251.0,28.8
2025-09-12,Zsombor Piros,154.0,390.0,25.9
2025-09-12,Lukas Neumayer,173.0,317.0,23.0
2025-09-12,Hyeon Chung,379.0,132.0,29.3
2025-09-12,Bor Artnak,486.0,86.0,21.2
2025-09-12,Orel Kimhi,787.0,32.0,22.0
2025-09-12,Daniel Cukierman,1178.0,8.0,30.1
2025-09-13,Kodjo Charles Alipoe Tchotchodji,,,23.1
2025-09-13,Akram El Sallaly,,,27.8
2025-09-13,Edas Butvilas,234.0,242.0,21.1
2025-09-13,Pijus Vaitiekunas,1423.0,4.0,22.5
2025-09-13,Leo Matthysen,,,19.1
2025-09-13,Connor Doig,1509.0,3.0,
2025-09-13,Marc Van Der Merwe,1086.0,11.0,31.0
2025-09-13,Alec Beckley,607.0,57.0,24.2
2025-09-13,Yassine Dlimi,777.0,33.0,22.3
2025-09-13,Aleksandre Bakshi,642.0,53.0,28.1
2025-09-13,James Watt,569.0,65.0,25.2
2025-09-13,Michael Bassem Sobhy,842.0,27.0,21.3
2025-09-13,Radu David Turcanu,660.0,49.0,19.4
2025-09-13,Jack Loutit,1091.0,11.0,21.2
2025-09-13,Vilius Gaubas,163.0,345.0,20.6
2025-09-13,Faris Zakaryia,541.0,71.0,24.3
2025-09-13,Gabriel Ghetu,765.0,35.0,17.8
2025-09-13,Hod'abalo isak Padio,,,20.6
2025-09-13,Zura Tkemaladze,841.0,27.0,25.2
2025-09-13,Juan Carlos Fuentes Vasquez,1999.0,1.0,19.9
2025-09-13,Daniel Antonio Nunez,790.0,32.0,24.2
2025-09-13,Tomas Barrios Vera,134.0,473.0,27.7
2025-09-13,Cristian Garin,124.0,518.0,29.2
2025-09-13,Otto Virtanen,141.0,449.0,24.2
2025-09-13,Yanaki Milev,713.0,41.0,21.3
2025-09-13,Eero Vasa,504.0,82.0,28.5
2025-09-13,Alexander Vasilev,992.0,15.0,18.3
2025-09-13,Tung Lin Wu,291.0,179.0,27.3
2025-09-13,Aaron Gil Garcia,1361.0,5.0,21.9
2025-09-13,Alex Knaff,668.0,48.0,27.7
2025-09-13,Louis Van Herck,1293.0,6.0,26.1
2025-09-13,Nerman Fatic,239.0,239.0,30.8
2025-09-13,Andrej Nedic,363.0,140.0,20.8
2025-09-13,Thiago Seyboth Wild,146.0,420.0,25.4
2025-09-13,Patrick Agbo Panzo,,,22.6
2025-09-13,Andres Andrade,344.0,148.0,26.7
2025-09-13,Alexis Klegou,,,36.6
2025-09-13,Michael Agwi,522.0,76.0,22.0
2025-09-13,Peter Buldorini,920.0,20.0,21.0
2025-09-13,Khumoun Sultanov,402.0,122.0,26.8
2025-09-13,Tsz Fu Wong,,,19.9
2025-09-13,Sergey Fomin,492.0,86.0,24.5
2025-09-13,Cesar Cruz,1400.0,4.0,18.9
2025-09-13,Marcelo Arevalo,,,34.8
2025-09-13,Melios Efstathiou,,,
2025-09-13,Romain Arneodo,,,33.0
2025-09-13,Stylianos Christodoulou,1770.0,2.0,20.8
2025-09-13,Elmer Moller,113.0,558.0,22.1
2025-09-13,Viktor Durasovic,246.0,233.0,28.4
2025-09-13,Chun Hsin Tseng,120.0,531.0,24.0
2025-09-13,Stefanos Tsitsipas,27.0,1830.0,27.0
2025-09-13,Alvaro Guillen Meza,237.0,241.0,22.6
2025-09-13,Taha Baadi,699.0,43.0,24.1
2025-09-13,Karim Bennani,1120.0,10.0,18.0
2025-09-17,Fajing Sun,236.0,241.0,28.9
2025-09-17,Taro Daniel,168.0,326.0,32.6
2025-09-17,Billy Harris,131.0,492.0,30.6
